unique_id,ds,cutoff,all,pearson,spearman,kendall,mi,y
Bone,2022-07-17,2022-07-16,1.6058238,3.835956,2.2853405,2.3553443,2.1942968,1.5
Bone,2022-07-18,2022-07-17,1.8301163,3.759159,2.6700299,2.4007857,2.2207918,0.5
Bone,2022-07-19,2022-07-18,0.8458729,1.3932961,0.9896363,0.75140977,0.5007093,1.3000001907348633
Bone,2022-07-20,2022-07-19,1.4437411,2.140164,2.082703,1.8476824,1.6903093,0.6000000238418579
Bone,2022-07-21,2022-07-20,0.68129945,1.3211093,1.4739892,1.4436338,1.1401443,3.6999995708465576
Bone,2022-07-22,2022-07-21,3.7565331,3.6859107,4.9496975,4.2605224,3.767631,1.100000023841858
Bone,2022-07-23,2022-07-22,1.5734267,2.167233,1.6724911,1.8731515,1.580858,1.3000000715255735
Bone,2022-07-24,2022-07-23,1.3977954,2.2784553,1.6590626,2.0718782,1.7146177,2.0
Bone,2022-07-25,2022-07-24,2.0894384,2.5026133,2.1653361,2.2263086,2.1687186,1.1000001430511477
Bone,2022-07-26,2022-07-25,1.1245012,1.9599437,1.3039219,1.6390721,1.4664373,5.200000286102295
Bone,2022-07-27,2022-07-26,5.2244625,5.4726925,5.3438425,5.153738,5.229291,2.000000238418579
Bone,2022-07-28,2022-07-27,2.0261455,2.453773,1.8908018,1.4280362,1.7167267,2.6999998092651367
Bone,2022-07-29,2022-07-28,2.7281513,2.5675724,2.7894444,2.5538,2.807529,1.0
Bone,2022-07-30,2022-07-29,1.0243828,1.7660168,1.7780138,1.7206906,1.4370999,2.700000047683716
Bone,2022-07-31,2022-07-30,2.7263942,2.9631464,2.9936943,2.3946161,2.8955538,9.09999942779541
Bone,2022-08-01,2022-07-31,9.129697,7.8892508,3.1669168,3.1453133,3.8374982,4.299999713897705
Bone,2022-08-02,2022-08-01,4.333066,4.7043304,3.0023715,2.3482897,1.9661684,4.0
Bone,2022-08-03,2022-08-02,4.033107,4.418335,4.3892784,4.173333,3.7150016,0.0
Bone,2022-08-04,2022-08-03,0.032727003,0.9116614,0.6866443,0.7927294,0.54544115,0.7000000476837158
Bone,2022-08-05,2022-08-04,0.73134327,1.7329229,1.0094665,1.1287159,1.103961,0.4000000059604645
Bone,2022-08-06,2022-08-05,0.43448448,0.8911066,0.22661114,0.8114836,0.7629757,0.1000000014901161
Bone,2022-08-07,2022-08-06,0.12933254,0.64589,-0.39678788,0.34745002,0.38321614,2.5
Bone,2022-08-08,2022-08-07,2.533793,2.905717,1.7539538,2.0180326,2.2990322,3.599999189376831
Bone,2022-08-09,2022-08-08,3.6376576,3.5014756,2.5295346,1.8305548,1.650792,7.199999809265137
Bone,2022-08-10,2022-08-09,7.240036,5.691862,3.790962,3.2171936,3.1678836,11.399999618530272
Bone,2022-08-11,2022-08-10,6.4942503,3.685648,3.6613955,4.5623813,3.8632982,4.399999618530273
Bone,2022-08-12,2022-08-11,4.436557,3.8100562,2.7538366,3.6150012,3.4150867,14.400001525878906
Bone,2022-08-13,2022-08-12,7.334776,7.4274044,1.2027912,4.7333317,3.3539455,14.500000953674316
Bone,2022-08-14,2022-08-13,5.322227,7.5247526,1.4027094,4.9888263,3.2252169,0.6000000238418579
Bone,2022-08-15,2022-08-14,0.6368458,2.4926467,1.1047305,1.7159672,2.0201387,0.0
Bone,2022-08-16,2022-08-15,0.038056135,2.0944107,0.84658885,0.7299032,1.0986251,0.8999999761581421
Bone,2022-08-17,2022-08-16,0.9382448,2.6363428,2.158583,2.2203088,1.9741695,3.5999999046325684
Bone,2022-08-18,2022-08-17,3.6386204,3.8878512,3.5733895,3.770833,3.7964175,0.800000011920929
Bone,2022-08-19,2022-08-18,0.8330538,1.8425863,1.6198637,1.3651948,1.2893959,1.5000001192092896
Bone,2022-08-20,2022-08-19,1.5345926,2.014935,1.7078221,1.6790744,1.7353071,0.0
Bone,2022-08-21,2022-08-20,0.035361767,0.6656647,0.29213738,0.31554198,0.241822,9.700000762939451
Bone,2022-08-22,2022-08-21,6.3325787,6.1349945,3.9078166,5.2158847,5.092268,0.800000011920929
Bone,2022-08-23,2022-08-22,0.82902646,1.62049,-0.08779168,0.49893498,0.19082713,0.4000000059604645
