unique_id,ds,cutoff,config_with_exog__,config_no_exog__,y
Bone,2020-01-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,209.58159,202.66028,303.1
Bone,2020-02-29 00:00:00+00:00,2019-12-31 00:00:00+00:00,242.80226,184.65578,448.9
Bone,2020-03-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,343.0173,301.4355,419.5
Bone,2020-04-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,222.70676,197.63396,314.2
Bone,2020-05-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,264.74896,255.71822,287.30002
Bone,2020-06-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,246.71384,234.91232,267.6
Bone,2020-07-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,270.8858,298.35074,358.1
Bone,2020-08-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,151.3761,102.0801,89.4
Bone,2020-09-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,68.118286,8.322693,108.200005
Bone,2020-10-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,74.82126,41.507675,95.2
Bone,2020-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,230.345,205.56607,172.0
Bone,2020-12-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,382.5298,376.5846,244.6
Bone,2021-01-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,276.6311,281.36218,293.5
Bone,2021-02-28 00:00:00+00:00,2020-12-31 00:00:00+00:00,151.21492,204.18326,66.6
Bone,2021-03-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,341.12476,303.15,383.6
Bone,2021-04-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,274.2172,265.15918,117.6
Bone,2021-05-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,335.434,358.84274,226.59999
Bone,2021-06-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,294.57843,298.59064,165.40001
Bone,2021-07-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,291.4131,312.80078,144.6
Bone,2021-08-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,108.97919,117.02789,253.5
Bone,2021-09-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,58.63945,52.733475,185.1
Bone,2021-10-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,68.13457,55.0055,94.3
Bone,2021-11-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,202.43999,200.15558,291.5
Bone,2021-12-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,355.78296,365.06662,205.3
Bone,2022-01-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,303.25214,222.65631,164.5
Bone,2022-02-28 00:00:00+00:00,2021-12-31 00:00:00+00:00,147.93407,198.95679,317.0
Bone,2022-03-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,256.06055,231.57162,342.0
Bone,2022-04-30 00:00:00+00:00,2021-12-31 00:00:00+00:00,252.89633,187.7444,205.9
Bone,2022-05-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,322.7798,246.68634,225.20001
Bone,2022-06-30 00:00:00+00:00,2021-12-31 00:00:00+00:00,166.89896,95.020775,186.8
Bone,2022-07-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,195.38455,121.006775,146.3
Bone,2022-08-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,98.045074,85.38007,118.6
Bone,2022-09-30 00:00:00+00:00,2021-12-31 00:00:00+00:00,77.6978,61.245293,77.299995
Bone,2022-10-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,179.53604,123.92612,202.40001
