unique_id,ds,precipitation_sum,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_mean,surface_pressure_mean,cloud_cover_mean,shortwave_radiation_sum
Bone,1996-01-31 00:00:00+00:00,160.0,800.44904,2609.5125,171.44095,30937.71,2831.1667,575.97
Bone,1996-02-29 00:00:00+00:00,151.1,754.28894,2420.9924,176.37079,28944.047,2657.75,576.7
Bone,1996-03-31 00:00:00+00:00,148.3,815.3407,2617.2537,204.50348,30955.309,2331.625,646.25
Bone,1996-04-30 00:00:00+00:00,127.0,785.57214,2514.28,183.65402,29969.777,2372.75,570.73
Bone,1996-05-31 00:00:00+00:00,178.2,788.3469,2702.3657,237.3378,31025.148,2295.125,529.83
Bone,1996-06-30 00:00:00+00:00,189.1,756.445,2614.73,242.33923,30015.414,2143.3333,488.13998
Bone,1996-07-31 00:00:00+00:00,175.59999,766.2991,2672.1038,274.02426,31014.365,2183.0417,537.42
Bone,1996-08-31 00:00:00+00:00,120.799995,781.7053,2624.1238,283.72934,31023.58,2025.0416,603.45
Bone,1996-09-30 00:00:00+00:00,27.0,784.8742,2315.312,255.37978,29983.494,1600.7084,680.39
Bone,1996-10-31 00:00:00+00:00,80.0,839.3949,2421.8572,203.56287,30979.396,2364.0833,679.7
Bone,1996-11-30 00:00:00+00:00,218.40001,787.83673,2497.0361,151.6477,29958.812,2622.0,590.98
Bone,1996-12-31 00:00:00+00:00,257.3,800.7011,2627.8762,241.42639,30931.982,2944.375,487.18
Bone,1997-01-31 00:00:00+00:00,174.90001,802.7553,2603.256,158.84818,30976.002,2719.25,579.22
Bone,1997-02-28 00:00:00+00:00,175.9,722.3391,2352.9607,163.02225,27945.55,2561.875,488.98
Bone,1997-03-31 00:00:00+00:00,81.9,801.2553,2613.4604,205.98694,31021.064,2360.4167,646.96
Bone,1997-04-30 00:00:00+00:00,226.3,765.4846,2605.48,201.41339,30038.006,2329.25,574.52
Bone,1997-05-31 00:00:00+00:00,73.4,795.96155,2648.0652,217.59912,31018.404,1613.875,581.87
Bone,1997-06-30 00:00:00+00:00,83.7,752.93256,2529.0574,270.1356,30061.594,1611.5416,562.7
Bone,1997-07-31 00:00:00+00:00,112.799995,757.01154,2608.5417,319.09006,31062.975,2007.125,566.24
Bone,1997-08-31 00:00:00+00:00,3.5000002,763.6428,2383.4,346.8772,31097.367,1331.6666,712.78
Bone,1997-09-30 00:00:00+00:00,1.5,761.9096,2081.3162,339.3126,30098.553,849.7917,778.6
Bone,1997-10-31 00:00:00+00:00,5.9,828.6428,2113.6833,289.07175,31074.668,1539.125,819.14
Bone,1997-11-30 00:00:00+00:00,39.0,816.368,2160.2637,219.1377,30036.727,1561.0834,744.26
Bone,1997-12-31 00:00:00+00:00,224.6,827.00323,2579.8818,141.86833,31004.385,2610.4167,596.19
Bone,1998-01-31 00:00:00+00:00,165.7,837.6095,2571.6406,135.26976,31013.219,2576.9167,635.29
Bone,1998-02-28 00:00:00+00:00,214.70001,751.6683,2375.1497,122.3995,28044.705,2205.8333,567.13
Bone,1998-03-31 00:00:00+00:00,280.9,827.7907,2684.7449,128.29373,31028.48,2497.0,635.66
Bone,1998-04-30 00:00:00+00:00,263.1,800.5554,2610.416,128.62195,30017.441,2357.0833,561.64
Bone,1998-05-31 00:00:00+00:00,251.5,813.34906,2776.716,214.24907,31005.58,2535.2917,490.93
Bone,1998-06-30 00:00:00+00:00,195.7,776.33044,2621.7761,187.06941,30010.107,2215.9583,488.71
Bone,1998-07-31 00:00:00+00:00,248.2,784.4324,2740.9915,211.09149,31011.578,2336.6667,511.01
Bone,1998-08-31 00:00:00+00:00,166.5,779.1741,2649.9255,289.1954,31031.414,2106.8333,579.49
Bone,1998-09-30 00:00:00+00:00,82.6,777.2138,2488.284,246.41978,30013.7,1872.375,656.35
Bone,1998-10-31 00:00:00+00:00,119.9,836.999,2529.9524,184.60236,30980.006,2312.0,674.81
Bone,1998-11-30 00:00:00+00:00,319.8,788.4138,2557.8914,137.22765,29943.527,2842.375,505.19
Bone,1998-12-31 00:00:00+00:00,127.3,820.86365,2563.4373,171.41841,30939.33,2819.7083,591.4
Bone,1999-01-31 00:00:00+00:00,341.3,801.0407,2680.4048,157.35936,30901.422,2949.625,498.25
Bone,1999-02-28 00:00:00+00:00,96.1,733.2516,2338.2144,160.38982,27961.18,2613.0833,510.35
Bone,1999-03-31 00:00:00+00:00,236.8,809.249,2651.268,130.82089,30902.51,2838.7917,583.0
Bone,1999-04-30 00:00:00+00:00,265.4,783.29504,2577.0059,133.95116,29956.523,2563.7917,532.5
Bone,1999-05-31 00:00:00+00:00,323.0,771.65735,2751.2856,229.65125,31007.613,2542.25,473.06
Bone,1999-06-30 00:00:00+00:00,139.5,747.4617,2596.9116,216.5466,30025.926,2167.0,506.26
Bone,1999-07-31 00:00:00+00:00,176.00002,751.9011,2638.0083,288.0252,31027.287,2056.0417,518.14
Bone,1999-08-31 00:00:00+00:00,56.600002,763.7803,2497.9163,317.1686,31058.88,1599.2084,645.3
Bone,1999-09-30 00:00:00+00:00,44.0,766.8388,2298.206,307.84265,30025.627,1345.0,694.16
Bone,1999-10-31 00:00:00+00:00,111.5,816.2074,2511.1357,213.56435,30985.334,2350.0833,658.13
Bone,1999-11-30 00:00:00+00:00,230.6,788.1242,2489.0159,126.61404,29958.42,2685.2917,584.54
Bone,1999-12-31 00:00:00+00:00,214.40001,810.1595,2618.18,176.35541,30928.79,2851.9167,544.98
Bone,2000-01-31 00:00:00+00:00,242.1,804.6553,2636.8518,158.2176,30941.51,2914.4583,588.86
Bone,2000-02-29 00:00:00+00:00,132.8,758.8369,2422.9446,144.01807,28938.926,2697.7917,576.43
Bone,2000-03-31 00:00:00+00:00,164.09999,812.6657,2592.746,146.44812,30948.307,2578.5417,627.57
Bone,2000-04-30 00:00:00+00:00,246.7,785.743,2557.4648,121.3251,29954.66,2568.75,570.06
Bone,2000-05-31 00:00:00+00:00,315.8,790.9011,2748.7,165.38211,30992.305,2650.4583,493.4
Bone,2000-06-30 00:00:00+00:00,395.5,727.6388,2727.137,241.65408,30019.248,2727.3333,359.82
Bone,2000-07-31 00:00:00+00:00,186.1,751.48444,2681.2476,309.44244,31017.537,2037.6667,518.03
Bone,2000-08-31 00:00:00+00:00,71.9,758.64075,2560.192,292.14932,31024.055,1878.7083,637.12
Bone,2000-09-30 00:00:00+00:00,36.6,771.1721,2361.1807,277.94284,30019.777,1396.875,691.33
Bone,2000-10-31 00:00:00+00:00,248.3,806.07196,2581.3943,150.30803,30968.082,2597.3333,596.08
Bone,2000-11-30 00:00:00+00:00,109.6,795.5721,2527.3828,131.53534,29932.889,2529.6667,605.31
Bone,2000-12-31 00:00:00+00:00,164.6,819.5616,2590.2922,179.39879,30919.527,2671.2083,582.75
Bone,2001-01-31 00:00:00+00:00,222.7,803.4303,2647.6936,141.53302,30942.535,2839.7917,595.08
Bone,2001-02-28 00:00:00+00:00,160.9,726.73285,2336.2773,216.36629,27912.25,2588.6667,488.48
Bone,2001-03-31 00:00:00+00:00,184.2,809.55945,2615.8142,161.41031,30961.51,2851.375,586.45
Bone,2001-04-30 00:00:00+00:00,249.50002,775.82837,2623.812,134.66364,29978.387,2665.3333,541.55
Bone,2001-05-31 00:00:00+00:00,110.3,798.022,2692.2407,197.91765,31008.387,2094.7917,567.37
Bone,2001-06-30 00:00:00+00:00,173.1,750.4617,2624.8894,226.10017,30003.678,2344.875,460.75
Bone,2001-07-31 00:00:00+00:00,94.5,765.13654,2563.3535,307.16718,31022.46,1594.5834,576.26
Bone,2001-08-31 00:00:00+00:00,34.800003,769.9178,2433.3123,343.7666,31038.291,1907.0416,629.88
Bone,2001-09-30 00:00:00+00:00,56.3,781.1117,2305.1265,291.60696,30017.73,1324.7916,697.65
Bone,2001-10-31 00:00:00+00:00,60.199997,843.8616,2347.8052,212.33965,30988.348,1860.2917,744.91
Bone,2001-11-30 00:00:00+00:00,186.7,807.1096,2426.3513,151.60994,29969.49,2706.8333,606.17
Bone,2001-12-31 00:00:00+00:00,237.2,798.3074,2651.8738,168.75702,30992.742,2869.0,512.87
Bone,2002-01-31 00:00:00+00:00,300.0,802.9949,2670.025,142.85695,30979.186,2886.9167,556.5
Bone,2002-02-28 00:00:00+00:00,123.7,734.42456,2350.3042,153.56952,28003.076,2629.3333,519.66
Bone,2002-03-31 00:00:00+00:00,262.5,806.87195,2657.4822,119.71306,30985.246,2587.875,608.05
